,total,paid_total,balance,breakdowns_labor_0_hours,breakdowns_labor_0_rate,breakdowns_material_0_rate,Slug,Total,Labor0Breakdown_quantity0total0,Labor0Breakdown_hourstotal,Labor0Breakdown_ratetotal,target
412,2758.0,2758.0,0.0,0.0,0.0,0.0,1200.0,2758.0,0.0,0.0,0.0,0
413,0.0,19540.0,-19540.0,0.0,0.0,0.0,1203.0,0.0,0.0,0.0,0.0,0
414,8855.0,8855.0,0.0,0.0,0.0,0.0,1205.0,8855.0,0.0,0.0,0.0,0
415,2800.0,2800.0,0.0,0.0,0.0,0.0,1207.0,2800.0,0.0,0.0,0.0,0
416,3580.0,0.0,3580.0,0.0,0.0,0.0,1213.0,3580.0,0.0,0.0,0.0,0
417,10580.0,10580.0,0.0,0.0,0.0,0.0,1220.0,10580.0,0.0,0.0,0.0,0
418,0.0,4055.0,-4055.0,0.0,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0
419,13040.0,13040.0,0.0,0.0,0.0,0.0,1228.0,13040.0,0.0,0.0,0.0,0
420,4800.0,4800.0,0.0,0.0,0.0,0.0,1231.0,4800.0,0.0,0.0,0.0,0
421,11992.0,11992.0,0.0,0.0,0.0,0.0,1233.0,11992.0,0.0,0.0,0.0,0
422,750.0,750.0,0.0,0.0,0.0,0.0,1235.0,750.0,0.0,0.0,0.0,0
423,900.0,900.0,0.0,0.0,0.0,0.0,1238.0,900.0,0.0,0.0,0.0,0
424,2084.0,2084.0,0.0,0.0,0.0,0.0,1239.0,2084.0,0.0,0.0,0.0,0
425,2084.0,2084.0,0.0,0.0,0.0,0.0,1240.0,2084.0,0.0,0.0,0.0,0
426,6128.0,6128.0,0.0,0.0,0.0,0.0,1242.0,6128.0,0.0,0.0,0.0,0
427,6511.0,6511.0,0.0,0.0,0.0,0.0,1247.0,6511.0,0.0,0.0,0.0,0
428,378.0,378.0,0.0,0.0,0.0,0.0,1249.0,378.0,0.0,0.0,0.0,0
429,5000.0,5000.0,0.0,0.0,0.0,0.0,1250.0,5000.0,0.0,0.0,0.0,0
